target_id	length	eff_length	est_counts	tpm
Y69F12A.2a.1	1587	1407.74	72.5777	14.6617
Y69F12A.2a.2	1656	1476.74	235.422	45.3363
Y69F12A.2b.1	1650	1470.74	0	0
Y69F12A.2b.2	1719	1539.74	0	0
C01F6.5	772	592.74	70	33.5843
F23B2.6	791	611.74	1246	579.233
M18.7a.1	959	779.74	423.126	154.32
M18.7a.2	1093	913.74	334.129	103.991
M18.7b	1139	959.74	38.7448	11.4805
F36A4.7	6024	5844.74	913	44.423
C05E11.4	1728	1548.74	18	3.30519
F49E11.3	1569	1389.74	0	0
M195.3	2360	2180.74	3	0.391219
C05E11.5	1883	1703.74	67	11.1834
R13G10.2	2642	2462.74	120	13.8569
B0019.1	2357	2177.74	21	2.7423
F25C8.2a	1398	1218.74	18.2583	4.26041
F25C8.2b	1131	951.74	3.74172	1.11803
ZK973.6	25871	25691.7	375	4.15088
C08B6.9	1240	1060.74	565	151.475
K06H7.6	2323	2143.74	405	53.7261
F15H10.3a.1	771	591.74	14.7353	7.0816
F15H10.3a.2	765	585.74	0	0
F15H10.3a.3	775	595.74	53.9646	25.7605
F15H10.3b	697	517.74	0	0
F15H10.3c	697	517.74	0	0
F15H10.3d	770	590.74	52.3001	25.1772
F35G12.9	565	385.74	189	139.338
F46F3.4a	2753	2573.74	594.064	65.6404
F46F3.4b	2541	2361.74	0.000500978	6.03239e-05
F46F3.4c	1807	1627.74	0.0676121	0.0118125
F46F3.4d	1449	1269.74	72.868	16.3202
VF36H2L.1	1107	927.74	136	41.6884
ZC434.6a	2375	2195.74	154.766	20.0445
ZC434.6b	2381	2201.74	57.2344	7.39254
C42D8.8a	2729	2549.74	293	32.6794
C42D8.8b	2723	2543.74	1.11169e-07	1.24283e-08
F55A12.7	1604	1424.74	76	15.1698
T05H10.2	1279	1099.74	337	87.145
W03G9.4.1	2097	1917.74	584.339	86.6518
W03G9.4.2	2337	2157.74	323.661	42.6573
K04G2.8a	3894	3714.74	161.861	12.3913
K04G2.8b	3900	3720.74	430.139	32.8763
F02E8.3	576	396.74	47	33.6895
Y105E8A.9	3014	2834.74	435	43.6394
F29G9.3	613	433.74	139	91.1355
Y71H2B.10a	3112	2932.74	524	50.8113
Y71H2B.10b	903	723.74	0	0
Y71H2B.10c	2496	2316.74	0	0
T20B5.1.1	3372	3192.74	212.753	18.9502
T20B5.1.2	3297	3117.74	56.247	5.13053
W09G10.4a	4130	3950.74	299.215	21.5381
W09G10.4b	3417	3237.74	54.7854	4.812
R11A5.1a	2926	2746.74	98.5604	10.2044
R11A5.1b	2896	2716.74	405.44	42.4405
F53H8.1	1454	1274.74	76	16.9549
Y48G8AL.14	638	458.74	163	101.047
W04G3.4	2154	1974.74	0	0
K08D9.3	2267	2087.74	714	97.2578
F32A5.5a	1026	846.74	92.7236	31.1417
F32A5.5b.1	988	808.74	0	0
F32A5.5b.2	1006	826.74	10.2764	3.53487
C01G6.1a.1	1189	1009.74	22.8223	6.42766
C01G6.1a.2	1195	1015.74	0.0310488	0.00869291
C01G6.1a.3	1204	1024.74	50.2299	13.9396
C01G6.1b.1	1207	1027.74	8.35654	2.31231
C01G6.1b.2	1076	896.74	0	0
C01G6.1b.3	1222	1042.74	18.5601	5.06183
Y69E1A.7a	1386	1206.74	3	0.706985
Y69E1A.7b	1089	909.74	0	0
F40F9.9	1001	821.74	20	6.92146
C35A5.1	1050	870.74	1	0.326598
C32C4.2a	741	561.74	5	2.53126
C32C4.2b	870	690.74	0	0
C32C4.2c	876	696.74	0	0
C32C4.2d	281	107.731	0	0
M02F4.8.1	1141	961.74	46.7643	13.828
M02F4.8.2	1237	1057.74	143.236	38.5101
K02G10.7a	1022	842.74	0	0
K02G10.7b	1134	954.74	38	11.3188
K07A1.16a	830	650.74	20	8.74027
K07A1.16b	767	587.74	0	0
ZK1321.3	990	810.74	114	39.9876
ZK525.2	908	728.74	59	23.024
ZK1320.6	1705	1525.74	41	7.64198
F01G4.2a	916	736.74	619	238.934
F01G4.2b.1	701	521.74	0	0
F01G4.2b.2	830	650.74	0	0
B0336.2.1	1212	1032.74	803.246	221.187
B0336.2.2	1158	978.74	219.754	63.8516
F57H12.1	988	808.74	990	348.12
Y116A8C.12	615	435.74	134	87.454
F31A9.3a	1074	894.74	0	0
F31A9.3b	1050	870.74	0	0
C01C7.1a	3509	3329.74	126.513	10.8051
C01C7.1b	3575	3395.74	136.487	11.4303
F54C9.10.1	966	786.74	0	0
F54C9.10.2	1021	841.74	186	62.8402
F19H8.3	555	375.74	3	2.27058
ZK632.8	715	535.74	105	55.7362
F45E4.1	679	499.74	2	1.13812
Y57G11C.13	1067	887.74	639	204.7
C38D4.8	573	393.74	0	0
F53H8.2	1530	1350.74	61	12.8428
W02B12.6a	2607	2427.74	151	17.6879
W02B12.6b	2356	2176.74	2.29905e-08	3.00361e-09
F28H1.3.1	3459	3279.74	5.44451	0.472087
F28H1.3.2	3460	3280.74	170.388	14.7697
F28H1.3.3	3472	3292.74	1397.17	120.668
C15F1.6	1136	956.74	695	206.582
Y71F9AL.16	1651	1471.74	510	98.5466
K07C5.1	1703	1523.74	587	109.554
Y79H2A.6	1376	1196.74	478	113.587
