ext_gene,b_e,b_b,q_e,q_b,q_d,q_c,q_a
cct-1,-0.3579875986953,-0.303218269838109,8.072592838217751e-06,0.000136341231463707,0.0104052653133144,3.02663374012808e-08,1.2688684742836301e-05
rps-26,-0.40232390335802704,-0.262621945737533,1.81682346984876e-07,0.0033486142055341303,0.0774845487860807,0.0482673709161626,1.3761249205443e-05
msra-1,-1.30674797221134,-1.97890284595225,5.48430170872434e-13,3.9342162739494297e-13,0.00201784437859118,3.6771054845678796e-07,3.2718622576819e-05
lis-1,-0.32822548022755893,-0.343947347497425,0.000682336368652917,0.00119639547309781,0.0038347688303263603,0.011721756332823999,4.7502070363904495e-05
F19B6.1,-0.6015441819306129,-0.46228189678379106,2.9872882142934897e-06,0.0295369721486319,0.000104818130648127,0.056662023633517,9.71555475948599e-05
Y39B6A.33,-0.501784952201048,-0.305926000236327,5.405239204543e-06,0.00596075540896088,8.96595640108254e-06,0.0488066261576937,0.000143697223654469
let-60,-0.32544464463042305,-0.268138495986884,0.000171536066049471,0.00786185653162971,0.0426410701572944,0.0342456999585953,0.000359807686711092
C01G10.8,-0.491557680736437,-0.340970602406317,7.37334573960009e-05,0.0017766638127126699,0.007752837320955329,0.00767934967445593,0.000378302686225947
Y69A2AR.25,-1.62355385128874,-0.715005837476708,5.48769885798592e-06,0.0797816422291642,0.00330948214933636,0.0034741380955312802,0.00042022532943538596
cct-5,-0.558436265795571,-0.48529996140146003,0.0077479356651793,0.000126218528835928,0.0296738169652091,0.0418763722375275,0.000502445053858717
ZC395.10,-0.360432533107725,-0.295978535607588,0.0288419458039689,0.0338205871032279,0.0353485072686174,0.0567990001092045,0.0008817467843506529
uaf-1,-0.477278088210859,-0.52031014354699,0.00253508139156436,0.0036664500527789205,0.0234022382261936,0.0194578272512232,0.0012203342472065
act-2,-0.392854178957193,-0.360566605051697,4.3468638184858104e-07,0.000159727486641184,0.015966913253578,0.038860718613847,0.00141886987306923
cct-7,-0.406559535060926,-0.34747582554915996,0.000333606724771287,1.9654005899594e-05,0.00035935463804735897,0.000256130869274778,0.0016389215568180099
spat-2,-0.43063082019719706,-0.23011003813197,2.96452739367027e-06,0.0524251465920538,0.000830744219102273,0.0558440814239619,0.00259096476551366
snr-2,-0.25262228826212196,-0.301727734362319,0.0361713034883514,0.00047880049748699006,0.0117863940428847,0.0273694971011236,0.00269383754598722
pfd-5,-0.5036432278305409,-0.32269372418239,1.28922785379425e-05,0.027336213605383002,0.00628879606762318,0.0190795254875019,0.007245287005830279
,-0.309945791676093,-0.27349468680515604,0.0132867632564942,0.00032499849203051497,0.0550158063905561,0.00626192213660077,0.0113511720792132
dnj-12,-0.515562287194427,-0.5144946241117271,0.00322026960262626,0.000681385844893399,0.0550277895132227,0.0065387928042292395,0.0266666309419405
hsp-110,-0.49052380109220795,-0.32483158881244106,0.00449745179868285,0.00151687775954546,0.000994414570907404,0.00491792404408988,0.0517152869863527
